Keyword,Country,Match Type,Quality Score,CPC,CTR,Avg Position,Impressions,Conversions
كاميرا احترافية,SA,Exact,10,3.5,14%,1.1,5000,85
عدسة كاميرا,AE,Exact,9,2.8,12%,1.3,4000,65
معدات تصوير,EG,Phrase,7,1.5,8%,2.5,3000,32
كاميرا ديجيتال,SA,Phrase,8,3.2,11%,1.8,4500,55
عدسة احترافية,AE,Broad,7,2.4,9%,2.1,3500,42
كاميرا Canon,KW,Exact,8,3.8,13%,1.2,2500,28
معدات تصوير احترافية,EG,Phrase,6,1.2,6%,3.5,2000,18
حامل كاميرا ثلاثي,SA,Exact,9,2.2,10%,1.4,2000,25
عدسة تليفوتو,AE,Exact,8,3.1,11%,1.6,1800,20
كاميرا للمبتدئين,EG,Broad,5,1.0,4%,4.5,1500,10